Game,Team 1,Score,Team 2,Week,Patch,Date,esportSS,Patch_short,Name_x,Season_x,Region_x,Games_x,Win rate_x,K:D_x,GPM_x,GDM_x,Game duration_x,Kills / game_x,Deaths / game_x,Towers killed_x,Towers lost_x,FB%_x,FT%_x,DRAPG_x,DRA%_x,VGPG_x,HERPG_x,HER%_x,DRA@15_x,TD@15_x,GD@15_x,PPG_x,NASHPG_x,NASH%_x,CSM_x,DPM_x,WPM_x,VWPM_x,WCPM_x,Season_short_x,Name_y,Season_y,Region_y,Games_y,Win rate_y,K:D_y,GPM_y,GDM_y,Game duration_y,Kills / game_y,Deaths / game_y,Towers killed_y,Towers lost_y,FB%_y,FT%_y,DRAPG_y,DRA%_y,VGPG_y,HERPG_y,HER%_y,DRA@15_y,TD@15_y,GD@15_y,PPG_y,NASHPG_y,NASH%_y,CSM_y,DPM_y,WPM_y,VWPM_y,WCPM_y,Season_short_y
OMG vs WBG,Weibo Gaming,1 - 2,OMG,WEEK1,13.10,2023-06-04,lpl summer 2023,13,Weibo Gaming,S13,CN,39,64.1%,1.27,1852,113,30:23,12.9,10.1,6.7,4.8,38.5,61.5,2.00,49.8,-,-,-,-,-,-,-,0.82,64.5,33.0,2105,-,-,-,13,OMG,S13,CN,40,57.5%,1.06,1857,68,29:02,12.4,11.7,6.3,4.8,52.5,37.5,2.08,50.7,-,-,-,-,-,-,-,0.75,66.2,33.2,2148,-,-,-,13
RNG vs OMG,Royal Never Give Up,1 - 2,OMG,WEEK2,13.10,2023-06-10,lpl summer 2023,13,Royal Never Give Up,S13,CN,40,55.0%,1.08,1854,41,30:21,14.1,13.0,6.5,5.0,55.0,37.5,2.43,57.1,-,-,-,-,-,-,-,0.70,49.4,32.9,2232,-,-,-,13,OMG,S13,CN,40,57.5%,1.06,1857,68,29:02,12.4,11.7,6.3,4.8,52.5,37.5,2.08,50.7,-,-,-,-,-,-,-,0.75,66.2,33.2,2148,-,-,-,13
AL vs OMG,Anyone s Legend,0 - 2,OMG,WEEK7,13.12,2023-07-17,lpl summer 2023,13,Anyone s Legend,S13,CN,39,30.8%,0.76,1741,-165,31:04,10.8,14.2,4.3,7.4,43.6,25.6,2.00,45.9,-,-,-,-,-,-,-,0.59,35.9,32.7,1921,-,-,-,13,OMG,S13,CN,40,57.5%,1.06,1857,68,29:02,12.4,11.7,6.3,4.8,52.5,37.5,2.08,50.7,-,-,-,-,-,-,-,0.75,66.2,33.2,2148,-,-,-,13
Rare Atom vs OMG,Rare Atom,0 - 2,OMG,WEEK7,13.12,2023-07-16,lpl summer 2023,13,Rare Atom,S13,CN,37,32.4%,0.73,1786,-122,29:56,11.2,15.5,4.7,7.1,48.6,29.7,1.68,40.2,-,-,-,-,-,-,-,0.68,38.0,32.7,1976,-,-,-,13,OMG,S13,CN,40,57.5%,1.06,1857,68,29:02,12.4,11.7,6.3,4.8,52.5,37.5,2.08,50.7,-,-,-,-,-,-,-,0.75,66.2,33.2,2148,-,-,-,13
OMG vs Team WE,Team WE,1 - 2,OMG,WEEK4,13.11,2023-06-22,lpl summer 2023,13,Team WE,S13,CN,37,48.6%,1.07,1825,-2,30:57,12.4,11.6,5.8,6.0,51.4,29.7,2.16,50.5,-,-,-,-,-,-,-,0.73,54.2,32.9,2173,-,-,-,13,OMG,S13,CN,40,57.5%,1.06,1857,68,29:02,12.4,11.7,6.3,4.8,52.5,37.5,2.08,50.7,-,-,-,-,-,-,-,0.75,66.2,33.2,2148,-,-,-,13
Ultra Prime vs OMG,Ultra Prime,0 - 2,OMG,WEEK6,13.12,2023-07-05,lpl summer 2023,13,Ultra Prime,S13,CN,38,31.6%,0.69,1760,-178,28:38,10.6,15.4,4.4,7.1,36.8,31.6,1.82,44.3,-,-,-,-,-,-,-,0.47,35.2,32.5,1992,-,-,-,13,OMG,S13,CN,40,57.5%,1.06,1857,68,29:02,12.4,11.7,6.3,4.8,52.5,37.5,2.08,50.7,-,-,-,-,-,-,-,0.75,66.2,33.2,2148,-,-,-,13
NIP vs OMG,Ninjas in Pyjamas,1 - 2,OMG,WEEK3,13.11,2023-06-13,lpl summer 2023,13,Ninjas in Pyjamas,S13,CN,36,41.7%,0.84,1791,-76,28:59,10.9,12.9,5.0,6.3,44.4,30.6,1.64,41.2,-,-,-,-,-,-,-,0.72,54.7,32.8,2071,-,-,-,13,OMG,S13,CN,40,57.5%,1.06,1857,68,29:02,12.4,11.7,6.3,4.8,52.5,37.5,2.08,50.7,-,-,-,-,-,-,-,0.75,66.2,33.2,2148,-,-,-,13
IG vs OMG,Invictus Gaming,0 - 2,OMG,WEEK3,13.11,2023-06-17,lpl summer 2023,13,Invictus Gaming,S13,CN,36,36.1%,0.88,1780,-130,30:12,13.2,14.9,4.7,7.2,44.4,30.6,2.33,52.7,-,-,-,-,-,-,-,0.56,34.7,32.1,2098,-,-,-,13,OMG,S13,CN,40,57.5%,1.06,1857,68,29:02,12.4,11.7,6.3,4.8,52.5,37.5,2.08,50.7,-,-,-,-,-,-,-,0.75,66.2,33.2,2148,-,-,-,13
OMG vs JD Gaming,JD Gaming,2 - 0,OMG,WEEK2,13.10,2023-06-07,lpl summer 2023,13,JD Gaming,S13,CN,36,80.6%,1.63,1978,249,29:07,17.1,10.4,7.8,3.7,55.6,36.1,2.44,63.6,-,-,-,-,-,-,-,0.69,60.9,34.5,2531,-,-,-,13,OMG,S13,CN,40,57.5%,1.06,1857,68,29:02,12.4,11.7,6.3,4.8,52.5,37.5,2.08,50.7,-,-,-,-,-,-,-,0.75,66.2,33.2,2148,-,-,-,13
OMG vs LNG Esports,LNG Esports,2 - 0,OMG,WEEK5,13.12,2023-07-02,lpl summer 2023,13,LNG Esports,S13,CN,37,67.6%,1.48,1899,155,30:25,15.4,10.4,7.1,4.5,67.6,59.5,2.19,51.8,-,-,-,-,-,-,-,0.81,66.2,32.9,2278,-,-,-,13,OMG,S13,CN,40,57.5%,1.06,1857,68,29:02,12.4,11.7,6.3,4.8,52.5,37.5,2.08,50.7,-,-,-,-,-,-,-,0.75,66.2,33.2,2148,-,-,-,13
Top Esports vs OMG,Top Esports,2 - 1,OMG,WEEK6,13.12,2023-07-07,lpl summer 2023,13,Top Esports,S13,CN,38,65.8%,1.32,1871,117,30:32,14.0,10.6,6.6,5.0,55.3,44.7,2.50,60.4,-,-,-,-,-,-,-,0.79,60.4,33.3,2204,-,-,-,13,OMG,S13,CN,40,57.5%,1.06,1857,68,29:02,12.4,11.7,6.3,4.8,52.5,37.5,2.08,50.7,-,-,-,-,-,-,-,0.75,66.2,33.2,2148,-,-,-,13
WBG vs JD Gaming,Weibo Gaming,2 - 0,JD Gaming,WEEK1,13.10,2023-06-01,lpl summer 2023,13,Weibo Gaming,S13,CN,39,64.1%,1.27,1852,113,30:23,12.9,10.1,6.7,4.8,38.5,61.5,2.00,49.8,-,-,-,-,-,-,-,0.82,64.5,33.0,2105,-,-,-,13,JD Gaming,S13,CN,36,80.6%,1.63,1978,249,29:07,17.1,10.4,7.8,3.7,55.6,36.1,2.44,63.6,-,-,-,-,-,-,-,0.69,60.9,34.5,2531,-,-,-,13
